frame,test_file,gt_file,chamfer_distance,accuracy,completeness,hausdorff_distance,precision_10.0,recall_10.0,fscore_10.0,precision_20.0,recall_20.0,fscore_20.0,precision_30.0,recall_30.0,fscore_30.0,precision_50.0,recall_50.0,fscore_50.0,source_filename
27,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0027.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0027.ply,15.695126,14.795952,16.594299,498.694366,0.391334,0.438617,0.413628,0.738673,0.750406,0.744493,0.90921,0.876382,0.892494,0.992681,0.945668,0.968604,BlueSpeech_baseline_metrics.csv
28,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0028.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0028.ply,15.9023,14.909032,16.895569,499.606445,0.377326,0.427293,0.400758,0.73161,0.74203,0.736783,0.906188,0.871262,0.888382,0.993232,0.952665,0.972526,BlueSpeech_baseline_metrics.csv
29,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0029.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0029.ply,15.930235,14.794306,17.066164,471.567474,0.379941,0.426722,0.401975,0.730274,0.733709,0.731988,0.90886,0.868346,0.888141,0.993964,0.948584,0.970744,BlueSpeech_baseline_metrics.csv
30,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0030.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0030.ply,15.833658,14.954342,16.712975,182.324844,0.369338,0.42227,0.394034,0.719915,0.744367,0.731937,0.913807,0.876213,0.894615,0.994967,0.950347,0.972145,BlueSpeech_baseline_metrics.csv
31,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0031.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0031.ply,15.791547,15.011001,16.572093,551.413696,0.359431,0.420371,0.38752,0.723604,0.745321,0.734302,0.917033,0.883841,0.900131,0.995091,0.950288,0.972173,BlueSpeech_baseline_metrics.csv
32,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0032.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0032.ply,16.073627,15.38068,16.766574,541.194336,0.347325,0.420575,0.380456,0.717597,0.757483,0.737001,0.918117,0.877082,0.89713,0.993351,0.947623,0.969948,BlueSpeech_baseline_metrics.csv
33,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0033.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0033.ply,16.223115,15.264988,17.181241,497.330688,0.345137,0.418954,0.37848,0.712082,0.742165,0.726812,0.916306,0.871804,0.893501,0.994036,0.947416,0.970167,BlueSpeech_baseline_metrics.csv
34,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0034.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0034.ply,16.388252,15.427842,17.348662,582.929749,0.343964,0.412276,0.375035,0.705697,0.736876,0.72095,0.911998,0.86698,0.888919,0.993536,0.945599,0.968975,BlueSpeech_baseline_metrics.csv
35,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0035.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0035.ply,16.19163,15.333155,17.050104,438.946381,0.341373,0.412411,0.373544,0.70871,0.747723,0.727694,0.921057,0.879827,0.89997,0.994289,0.947243,0.970196,BlueSpeech_baseline_metrics.csv
36,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0036.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0036.ply,16.094078,15.043834,17.144322,248.684479,0.350136,0.431957,0.386766,0.717423,0.755105,0.735782,0.92571,0.872103,0.898107,0.994562,0.942742,0.967959,BlueSpeech_baseline_metrics.csv
37,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0037.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0037.ply,15.904354,15.224838,16.58387,591.251953,0.356018,0.435812,0.391894,0.716444,0.768814,0.741706,0.922367,0.886678,0.90417,0.993576,0.946901,0.969677,BlueSpeech_baseline_metrics.csv
38,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0038.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0038.ply,16.04446,14.998426,17.090494,175.621597,0.345695,0.414748,0.377086,0.721645,0.755394,0.738134,0.928726,0.882461,0.905003,0.994651,0.946,0.969716,BlueSpeech_baseline_metrics.csv
39,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0039.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0039.ply,16.2303,15.35607,17.104529,483.254761,0.33836,0.41303,0.371985,0.710184,0.749895,0.729499,0.922904,0.882875,0.902446,0.993562,0.948028,0.970261,BlueSpeech_baseline_metrics.csv
40,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0040.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0040.ply,16.00858,14.93701,17.08015,234.380936,0.354716,0.421829,0.385372,0.724629,0.748029,0.736143,0.926723,0.877175,0.901269,0.993742,0.947468,0.970053,BlueSpeech_baseline_metrics.csv
41,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0041.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0041.ply,15.998359,14.970307,17.026412,585.007935,0.361643,0.423762,0.390246,0.724362,0.750819,0.737354,0.92104,0.873661,0.896725,0.993938,0.944107,0.968382,BlueSpeech_baseline_metrics.csv
42,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0042.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0042.ply,15.591581,14.794447,16.388716,597.417358,0.373943,0.443839,0.405904,0.737859,0.765683,0.751514,0.926345,0.885319,0.905367,0.992084,0.9498,0.970482,BlueSpeech_baseline_metrics.csv
43,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0043.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0043.ply,15.37437,14.499022,16.249718,572.076477,0.381551,0.444724,0.410723,0.745686,0.770511,0.757895,0.929912,0.881775,0.905204,0.994859,0.950648,0.972251,BlueSpeech_baseline_metrics.csv
44,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0044.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0044.ply,15.610414,14.589376,16.631452,269.093964,0.381477,0.446884,0.411599,0.739425,0.761279,0.750192,0.921357,0.87759,0.898941,0.993712,0.94807,0.970355,BlueSpeech_baseline_metrics.csv
45,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0045.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0045.ply,15.348507,14.445085,16.25193,229.609421,0.38204,0.453146,0.414566,0.751187,0.776842,0.763799,0.928967,0.887416,0.907716,0.993985,0.948939,0.97094,BlueSpeech_baseline_metrics.csv
46,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0046.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0046.ply,15.435181,14.516187,16.354175,168.722321,0.374492,0.450743,0.409095,0.739825,0.770669,0.754932,0.928821,0.88866,0.908297,0.996116,0.948086,0.971507,BlueSpeech_baseline_metrics.csv
47,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0047.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0047.ply,15.304066,14.404158,16.203974,312.853333,0.378246,0.446229,0.409435,0.748851,0.770207,0.759379,0.928474,0.889874,0.908765,0.994729,0.950769,0.972252,BlueSpeech_baseline_metrics.csv
48,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0048.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0048.ply,15.590119,14.351781,16.828457,533.340637,0.391435,0.437185,0.413047,0.742974,0.753449,0.748175,0.927796,0.884132,0.905438,0.995347,0.949728,0.972002,BlueSpeech_baseline_metrics.csv
49,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0049.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0049.ply,15.615296,14.598662,16.631929,357.048706,0.383823,0.431907,0.406448,0.726815,0.748978,0.73773,0.92281,0.881251,0.901551,0.996096,0.953912,0.974548,BlueSpeech_baseline_metrics.csv
50,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0050.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0050.ply,15.610383,14.548298,16.672469,240.369492,0.388615,0.439858,0.412651,0.729564,0.754274,0.741713,0.921746,0.883194,0.902059,0.995581,0.949336,0.971909,BlueSpeech_baseline_metrics.csv
51,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0051.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0051.ply,14.341067,13.064652,15.617482,572.619568,0.450931,0.474739,0.462529,0.778704,0.78417,0.781427,0.937933,0.895341,0.916142,0.995293,0.952832,0.9736,BlueSpeech_baseline_metrics.csv
52,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0052.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0052.ply,14.542876,13.397143,15.68861,615.914368,0.448395,0.466832,0.457428,0.764546,0.778437,0.771429,0.931697,0.890808,0.910793,0.996278,0.954774,0.975085,BlueSpeech_baseline_metrics.csv
53,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0053.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0053.ply,14.496146,13.308019,15.684273,599.728577,0.447708,0.471404,0.45925,0.769859,0.781387,0.77558,0.937304,0.89546,0.915904,0.995372,0.954281,0.974393,BlueSpeech_baseline_metrics.csv
54,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0054.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0054.ply,14.214209,13.185423,15.242996,611.378235,0.459989,0.486104,0.472686,0.768453,0.787888,0.77805,0.934829,0.897137,0.915595,0.995643,0.954162,0.974461,BlueSpeech_baseline_metrics.csv
55,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0055.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0055.ply,14.133219,13.125737,15.140702,590.149475,0.448377,0.479768,0.463541,0.774395,0.782921,0.778634,0.93792,0.897456,0.917242,0.995827,0.955091,0.975033,BlueSpeech_baseline_metrics.csv
56,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0056.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0056.ply,14.020272,12.954096,15.086448,417.060608,0.458662,0.482397,0.47023,0.783293,0.79593,0.789561,0.937789,0.89983,0.918418,0.995022,0.955308,0.974761,BlueSpeech_baseline_metrics.csv
57,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0057.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0057.ply,13.756794,12.671309,14.84228,493.359772,0.477469,0.499581,0.488275,0.792564,0.801852,0.797181,0.93872,0.903205,0.92062,0.996791,0.953633,0.974734,BlueSpeech_baseline_metrics.csv
58,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0058.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0058.ply,13.845854,12.691492,15.000216,505.225067,0.480807,0.492881,0.486769,0.784653,0.799402,0.791958,0.934903,0.905031,0.919724,0.996413,0.953589,0.974531,BlueSpeech_baseline_metrics.csv
